sub_tag,ses,run,n_trials_paired_finite,adjacent_diff_ratio_sum_projection,adjacent_diff_ratio_sum_behavior_col2,n_adjacent_pairs_projection,n_adjacent_pairs_behavior_col2,variability_preprocessing,projection_source,projection_path,behaviour_path
sub-pd011,1,2,65,49.76749953475468,71.40877951857661,64,64,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd011/active_bold_sub-pd011_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD011_ses_1_run_2.npy
sub-pd012,1,1,81,76.23129628593378,76.44678492309565,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd012/active_bold_sub-pd012_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD012_ses_1_run_1.npy
sub-pd012,1,2,80,77.54085895679158,84.71947973619804,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd012/active_bold_sub-pd012_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD012_ses_1_run_2.npy
sub-pd013,1,1,81,65.95855692641763,81.96760958262391,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd013/active_bold_sub-pd013_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD013_ses_1_run_1.npy
sub-pd013,1,2,81,72.42763105821248,69.59576393554616,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd013/active_bold_sub-pd013_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD013_ses_1_run_2.npy
sub-pd014,1,1,81,76.2580064523845,78.94737992497062,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd014/active_bold_sub-pd014_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD014_ses_1_run_1.npy
sub-pd014,1,2,81,73.22592893392988,77.8906476661648,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd014/active_bold_sub-pd014_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD014_ses_1_run_2.npy
sub-pd015,1,1,80,76.45218530040218,72.71190075995987,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd015/active_bold_sub-pd015_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD015_ses_1_run_1.npy
sub-pd015,1,2,80,61.24498990745692,68.66881920379745,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd015/active_bold_sub-pd015_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD015_ses_1_run_2.npy
sub-pd018,1,1,81,61.46146320346527,70.79437810116485,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd018/active_bold_sub-pd018_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD018_ses_1_run_1.npy
sub-pd018,1,2,80,66.88804097217289,65.94668393098299,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd018/active_bold_sub-pd018_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD018_ses_1_run_2.npy
sub-pd020,1,1,81,76.6065758576114,91.38551566681448,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd020/active_bold_sub-pd020_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD020_ses_1_run_1.npy
sub-pd020,1,2,81,66.35506690979832,84.96476272703556,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd020/active_bold_sub-pd020_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD020_ses_1_run_2.npy
sub-pd023,1,1,81,64.55848919421393,78.67155628534655,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd023/active_bold_sub-pd023_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD023_ses_1_run_1.npy
sub-pd023,1,2,81,59.34205091077209,83.61056858276972,80,80,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd023/active_bold_sub-pd023_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD023_ses_1_run_2.npy
sub-pd024,1,1,80,59.78127456201808,78.02917178584678,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd024/active_bold_sub-pd024_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD024_ses_1_run_1.npy
sub-pd024,1,2,80,51.68065414034374,85.16756452215766,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd024/active_bold_sub-pd024_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD024_ses_1_run_2.npy
sub-pd028,1,1,76,70.51324046054249,80.18829173945613,75,75,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd028/active_bold_sub-pd028_ses-1_run-1.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD028_ses_1_run_1.npy
sub-pd028,1,2,80,94.00457024702132,76.3024432389988,79,79,demean_paired_finite_run_values,bold,/mnt/TeamShare/Data_Masterfile/H20-00572_All-Dressed/Zahra-Thesis-Data/fmri_opt_group/results_beta_preprocessed/sub-pd028/active_bold_sub-pd028_ses-1_run-2.npy.npy,figures/projected_RT/revised_behaviour_from_mat/behaviour_npy/PSPD028_ses_1_run_2.npy
